# d_ID|name|vehicle_type|x|y|status|total_earnings
101|Raj Kumar|0|4|5|1|355.00
102|Priya Singh|1|7|4|0|150.50
103|Arjun Mehta|0|1|1|0|490.00
104|Sneha Patil|1|3|3|1|40.00
105|Vikram Sharma|0|9|2|1|610.00
106|Kavya Nair|1|5|8|0|87.00
107|Rohit Verma|0|4|6|0|415.00
108|Deepa Iyer|1|11|5|0|70.00
109|Suresh Reddy|0|6|1|0|295.00
110|Ananya Das|1|2|9|0|172840.00
111|Manoj Gupta|0|8|7|0|1015.00
112|Pooja Joshi|1|13|3|0|120.00
113|Kiran Rao|0|3|11|0|250.00
114|Amit Tiwari|1|7|9|0|49.00
115|Sunita Choudhary|0|10|4|0|430.00
116|Rahul Mishra|1|1|6|0|80.00
117|Geeta Bhat|0|5|2|0|327.00
119|Divya Pillai|0|4|8|0|305.00
120|Sanjay Dubey|1|12|6|0|80.00
121|Lakshmi Menon|0|6|5|0|308.00
122|Tarun Saxena|1|2|12|0|55.00
123|Meena Krishnan|0|8|3|0|510.00
124|Harish Pandey|1|10|9|0|110.00
125|Ritu Agarwal|0|3|7|0|240.00
126|qwerty|0|5|5|0|0.00
456|rajesh|1|100|100|0|0.00
1000|boomboom|1|6|7|1|0.00
1200|aswdfg|1|1|9|0|0.00
1234567|POPOYE|0|1|9|0|0.00
